id_servicios_restaurantes,servicios_restaurantes
IQQKO,1933 pub  grill
3G69B,thai coconut and sushi
7N380,mojito restaurant  lounge
8WBGK,wet willies
WB3GK,rigbys barber shop
0MI19,rack city ribz
MGJ9T,vincenzos ristorante
AMXTE,salem gyro  submarine
5MUZ6,the castle
OF7RP,ya boys bbq
K9RW2,catches waterfront grille
FGKQ0,el mirasol bakery
S73F4,pf changs
5L6DH,gatsbys restaurant
64AWT,manos bakery cafe
MKWDP,better byrd
VJHL4,ichiban japanese cuisine  sushi bar
K5C5C,yummy thai
U36QR,whiskey river
4BIRC,hawthorne bottle shoppe
I0VOE,pepes cuban cafe
SWTG3,jimmy hulas
6FGQE,your pie
9L8MD,jasons deli
FVVRS,yummys
9FFBX,good time charlies pub
ZK5V8,johnnys smokeshop  kava bar
ZA1DT,mugoos diner
TLADQ,gyro express
GVMMZ,surf shack
I2KN2,los amigos taqueria y tienda
313NZ,jessis restaurant
QP3R1,d  d delights
DK81O,mad hatters kava bar
NFA5U,gold ring cafe
DS0U0,euro cafe deli  grocer
N2GU9,bar fly safety harbor
O12OV,chris kitchen icot
DS13N,fresh
1B02A,westy grille and pub
KWTLL,adriatic cafe
TPP5E,international fresh kitchen
M7ZC1,seahorse
YUSKN,nosh cafe
G7BEG,ice rolls
3MQ4L,quail hollow golf  country club
C6X7L,zen thai cuisine  sushi
6BOSR,paleo on the go
T0HHR,gorditas don huicho
U8TI8,evos feel great food
CKQDJ,bistro bleu
Z2ARY,quaker steak  lube
9S62B,arcoiris restaurant
671Y0,the lure
CQR2O,el caldero
8ZBQZ,la teresita tex mex and bakery
TSJBY,romano restaurant  bar
BULX2,green market cafe
S8PHJ,buckets tavern  tap
J2WE7,chicken and taco loco
JM7KK,derussos pizzeria
OA0CQ,taste good
IU1RE,manatees on the bay
TAYOO,edsons barber shop
4TAOB,cks eats  drinks
BXQHZ,the cafe by mise en place
ESZP5,havana harrys
SYMHO,westshore pizza southside inc
CKI0T,bausers
635C8,chart house
SXYVN,miss hazels kitchen
9PQJV,oggi italian
JEYDB,big steins deli
MTVN5,mama fus
L9KF0,new york bagel  bean
XTWYY,restaurante mexicano la cascada
88FBL,anytime pizza
58CB6,en mi viejo san juan
TKKCU,gaspars patio bar  grille
RQVK1,little greek restaurant
6JWUL,housewife bake shop
X24Y2,fords garage
1FW4H,joes kitchen
U1LXL,royal tea room  gift shoppe
8O8SU,stage left
OL0AM,havana harrys 2
E2ID9,pow
GBIFG,barnacles restaurant
FSEU8,coyote rojo  4
TZ4G0,sonic drive in
USO5T,chef thai  sushi
826EK,cuban paradise cigar  cafe
7U5Q9,nikis gyromania
M2RCE,thaiam restaurant
920A5,palm pavilion beachside grill  bar
D2GBS,are pitas
N3P8J,shamrocks ale house
MBWWB,antonios pasta grill
RIQMX,caff nove
7LFIN,flapjacks
ARR7W,pirates pub  grub
FTM14,el boricua cafe
FAWR4,id barbers
0AFOX,jerk huts jamaica tropicale
M000F,cdbs italian
BNJI1,docs louisiana boil
9B5LD,seminole subs  gyros
IY4K4,strawberry town cafe
ZMIAJ,the bread artisans
UR0CE,sams new york pizza
IGV5V,europa cafe
MLEA7,oyishi buffet
UHZX7,johnny rockets
LXH38,gigis italian restaurant
D2NG8,happi wok
O8GRD,south pacific grill
UEX2N,brandon crossroads bowl
SW83A,bonsai sushi
JAKM3,due amici
LN2FT,fazolis
DG9ZE,sushi cafe
2XM61,old man brown backyard bbq
JVPPL,3 oaks cafe
XH8TF,zambia smokehouse
FN8UI,oriental express chinese sushi restaurant
9VDF3,cyber takee outee
3582W,i ai sushi
H29SQ,andys on the bay
X9HV8,kobe japanese steakhouse  clearwater
KVXND,crown colony house
XCMWL,undertow beach bar
PCPGC,81bay brewing
QNI0B,rock n raw
H45GZ,machu picchu restaurant
GXGM0,fresh bites
BJGBA,whatever pops
UISNH,konan bbq
20N5I,the heights barber shop
9MSER,sweet soul
8JM7C,evos feel great foodsouth tampa
VPNB2,gringos cafe
X3Z0I,souzou asian kitchen
EQOJ9,perkins restaurant  bakery
Z692X,gator sushi grill  buffet
3RKQO,capri pizza and pasta
NAKDM,route 66 diner
0VDMH,delicias latinas
3TICK,surf and turf
GXYDL,fresh club barbershop
820FH,pacinis
GX9MJ,yummy noodle house
23JEK,widow browns restaurant
F6LHU,the dog saloon
L6138,amores fresh slice pizza
7EQGI,shephards ocean flame
INKDF,steves pizzeria
BL6XZ,hilton garden inn tampa suncoast parkway
0ZGXT,cedars grill
OJ1OZ,mels house  of smoke bbq  catering
ABE8U,ca cafe
E7ZT9,pagellis italiano
YFVD9,salt rock tavern
M2T8D,bonos famous chicago style hotdogs  subs
OJKZY,abc pizza international
M4HVV,big johns alabama barbq
ZDYHZ,union72 barbecue
MX7X2,pizzeria gregario
1OBMO,la pelotera food truck
PF9MT,batter  dough
0DZTT,the surly mermaid
C04L0,hokkaido hibachi  sushi
6CIEX,i dont care bar  grill
XOQU5,pho queen
FR3GY,the fish house
R156K,geoffreys floral design and bakery cafe
3BZ4K,wild rover brewing company
6KC8H,sergios restaurant  pizzeria
9VIGW,pensare italian bistro  wine bar
9CQWM,zaki on the river
EBLN6,dine or dash
R27WN,hudson beach ice cream parlor
GPG5U,villanos italian restaurant  pizzeria
7QR2H,seno mexicano
6TKBV,the birchwood
Q1T1P,taste of china
4EDP5,fitlife foods  south howard
HXALV,topgolf
1M2A8,jewel cafe  tea room
JWGZL,the mill restaurant
GN8RD,gabys family restaurant
YJ9XS,taste of new york pizzeria
ZY5P0,portillos  tampa
1NQF1,florida cane distillery
3SILI,pho bowl
V8VEK,franks sandwich shop
60WFU,yeomans road restaurant
YHMH2,lutz fuel tailgate mart
63QTY,central perks cafe
W4MJ1,new world brewery
3BOA6,thai island
1PBZI,machismo burrito bar
JDERB,da fade shop
KM7IK,xone sports bar and grill
D8EHH,amnesia pub
O1FBW,restaurant su ottavo
LOLZT,our place  dunedin
F30VM,dough nation
461SR,c1949
3FNXL,queens pizza  restaurant
GFBJZ,kokomos bar  grille
W81JC,mcguires barber shop
RM7E8,samba room
FGUAS,aegean
GUW6U,ozona pizza
TQ5ZC,bakery melange
CJBUG,liquid provisions
WAAEB,s  s tacos and stuff
RADVE,millers ale house
RW3R9,tropix beach bar
O5H3Z,chez colette
8CXMC,tc choys asian bistro
314GW,jacksons bistro bar  sushi
KA0NL,captains pizza
PS5CY,portales restaurant
K875T,fresh kitchen
FAUK7,varsity club
GD61S,happy fish
AHNWT,los gorditos food truck
WPHGB,evys terrace bar  bistro
MZICP,the garden
KJA9F,players sports pub
NESHI,taste of punjab
F6P91,red fork cafe
ADDP2,al  stella authentic italian restaurant  pizzeria water front
FRULU,hamburger marys pub house
ZP8S2,waterside cafe
5DSHK,new china
SNZ0F,thaiam 2
60CBN,coffee  bagels
GZ10C,philly phlava
PACFP,crazy buffet
2BEUX,the raven
3CEGU,the nook
LMY3C,super asian buffet
BJ5VV,famous sals pizza  new port richey
WRNUU,dulcet restaurant  lounge
SYC16,angies cafe
810OP,eves family restaurant
ZT9VV,china buffet
N8E8N,caddys treasure island
ICNLL,pokeys
RC346,oak  stone  st petersburg
SV10X,china yuan restaurant
8YQWD,centre club  tampa
XL2KT,elias deli  produce market
71X2L,latin twist cafe
H5K7Y,burger monger
QRARC,nola cafe
4ZUM7,cafe caribe
DQHH2,ybor grille
K30TS,the cake factory at perc
USM59,sunset bistro
KCYB8,the laughing cat
TNGXA,the patio
38PIS,salty rim grill
59DT0,pjs brick oven pizza  spring hill
OICJI,fade masters
29HZF,riverview sandwich shop
LOAJF,independent bar
CVPEQ,lazy maguro japanese restaurant
L0QQL,mixers bar  grill
YPOPH,tropical ice cream  coffee
M2WS5,ellas americana folk art cafe
ER3HM,panda chinese restaurant
H3FQP,toojays
BGOS6,chicken salad chick
J812L,sabor a peru
OXEUN,yayas flame broiled chicken
N6X47,golden dinosaurs
YFYBI,hibachi express
YHET1,hibachi japanese express
B4W3Y,beef o bradys  land o lakes
UZSWY,downtown vaporium
3H3IQ,sally o neals pizza hotline
E9JIU,caff paradiso
55LKD,britts laguna grill
HI0CO,smokey bones
XAQA0,sunflower cafe
VW411,rossi ristorante italiano
CXX34,kellys for just about anything
1WESI,old northeast tavern
20XOJ,pho quyen
1VC9T,daves restaurant
AUBVY,wat mongkolratanaram of florida
QOLT1,pb  jelly deli
FD4TR,pit stop southern style barbeque
98094,gigis cupcakes of tampa
3S9JS,javahz
P7IBG,post corner pizza  restaurant
VHWRW,jamminz beach bar
GCIO1,lee house
6UCM0,tilted kilt pub  eatery
OL2KM,sicilianos
IISO2,tokyo grill  sushi
Q9UKH,sushi maru
VAT71,the pint and brew  downtown tampa
UKBWU,jets pizza
OWNGT,boscos italian to go
M8RJ2,the point pub and grill
H1E7K,pauls landing
NBJJK,grande pizza
ZDQWJ,shooters
RFHE5,jesse dolce hair designer
7BKQY,jimmys fish house   iguana bar
KZ842,toasted monkey
CBU3D,a fresh connection cafe and bakery
O0SXH,eat greek kouzina
5S2TT,alsham palace
QPYJ6,dunedin fish market  olde bay cafe
G7EOS,pericos restaurant
ZC6WY,china fun
MZXIG,crawford hair company
9FDEK,airheads trampoline arena  tampa
AKGZH,einstein bros bagels
8MI6F,mystic fish seafood grill  bar
1SWFF,homestyle barbecue
YBIP7,antonietti pizzeria
4UEM2,food 4 the soul diner  bakery
M5N95,franks and subs
0LGS5,cocos sandwich shop
WOV73,salsas mexican restaurant
GYM57,degaje local market
TQ6DE,eddies bar  grill
YO2NO,kings street food  counter
C3REN,edible arrangements
T1HNO,pssghettis
33QVX,pizza fusion
O1K5J,susies family restaurant
5LXK6,dunedin brewery
I0YVU,freds southern kitchen
OFVDA,doe does diner
ZWMIO,the olympic cafe
MHTBA,tao asian fusion
SUY9R,taqueria mi mexico
RZCP5,tampa premium outlets
6SRB0,cafe european
B0NF0,la hacienda mexicana
ZKNVS,the basement
J0M37,egg style
CKLZ0,whatsup paddle sports
LB8HN,la creperia cafe
AN2NU,shark bites on the river
39ALN,london heights british pub
GE693,splitsville
S0LCZ,tazikis mediterranean cafe  clearwater
ZQD00,zeldas cafe  deli
HNTG8,juans mexican grill
LOPRB,popeyes fried chicken
QDEJJ,shells seafood   st pete beach
I85TI,freds carolina bbq
1YIQN,new york buffet
VYM8R,bazille
40INV,reservoir bar
JMK0I,qdoba mexican eats
XFWV0,the landing bar  grill
SZVHQ,dmexican
68SJQ,wok on by
RRKSD,fruit fondue
72MKP,z grille
HRVMM,sport clips haircuts of brandon  819 e bloomingdale ave
4W33Z,sabroso cuban restaurant
H984O,dairy queen ltd brazier
7W2Q0,chiquinho
I0664,ybor city wine bar
Q6OE2,san jos mexican restaurant
4F01E,charleys grilled subs
90ZOJ,cold pressed company
3BIOT,nabruzzi trattoria
2F2KN,kidz cutz salon
JET1I,trolleys american cafe
XZIKL,suzies too
SEU37,veggd out vegan kitchen
J3XNM,armature works
S55HW,brentwood barber shop
ISLM7,umai sushi
TE7C2,extreme pizza  palm harbor
HPAT4,pisces sushi and global bistro
FSVVM,georges breakfast station
G0H7R,grumpys tap room
3OXXU,hibachi buffet
L5882,taqueria doa maria
APTXI,clearwater wine bar  bistro
7CO5L,alfanos restaurant
2T0VY,grain and berry cafe  westchase
YMAV9,dome grill inc
KT5SM,sushi spice
L0HU2,sake2me
7GF5I,rice market and restaurant
KZE6H,first choice southern barb que
S1R6W,poke express
86YRQ,mr bs cafe
BV99D,bia marias
E89BX,east lake woodlands country club
N6KSW,argentos italian bistro
UK3OD,mark anthony pizza
Z2IYF,el ranchito toluca
N0KLY,jr cigar outlet  tampa
BN9GB,marketplace express
22BOD,courtyard by marriott st petersburg downtown
BPB0J,the sail
V983Q,bean arrow coffee
10HRY,dennys
0ITQJ,bobby sandwich shop
IOPS6,asian cuisine
9PMGV,fat cat tavern
SJAD8,skinnys bar and grill
K2Q1R,el rey de oros
NQ2N3,haze ice cream
P0XZZ,ohana mediterranean eatery
L76FC,adryanas latin  italian cuisine
KXKNZ,lattitudes
L13OV,skara a greek taverna
6PFKL,salems fresh eats
M62FQ,digby mini market  restaurant
1AGMM,ny times square pizzeria
CNQYK,b b magees tavern
PG7OM,bs island kitchen
162D3,swami juice
GOD5P,fefas cafe
J1HQK,lenores nifty 50s cafe
KCHFW,i c sharks marina
QCDSU,prestige lebanese cuisine and restaurant
3ZTF4,seabreeze family restaurant
HKF4D,arbys roast beef
VR75B,la belas
BMWDA,famous jays
0MMAD,china express
BHEZI,latin lunch box
FY1PS,hong kong restaurant
M7UX8,andros greek grill  pan pizza
6HRVK,mochiberri frozen yogurt
GN9KR,original pinehurst pub
R51QE,red tiki bar
0SD58,vapour
Z42V5,5 star dive bar
MI580,shish kebab and turkish cuisine
9OE6S,jts roadhouse
PQS1Z,green tea chinese restaurant
79ZEK,5th element  taste of india
9H562,580 sports bar  grill
24HC0,diamond kutz barbershop
MYFC8,the koshery restaurant
W8SYU,hagendazs
FP226,orlando latin market
HL1YP,sportsters bar  grill
MJX5J,sbarro
80I4Y,nicks cafe
D83ZX,red square deli
I9BUH,hookah lounge
5F4PO,fade legends barber shop
345NT,sparkman wharf
CP56V,poke rose
0O4EM,pizza rock
73OT1,pegasus lounge
WZZ7K,no vacancy
OY4FZ,sea q grill
HOKVM,price rite food mart
CW04N,angel cakes
KY24M,mermaid lounge  eatery
AGXDO,the blind tiger cafe  westchase
0ATNS,snookers grill
JIRLS,burger 21  airside c
DI26N,cabana bar
OU56Y,marys cafe ii
IJJS4,32 below
PLAN3,karma juice bar and eatery
X1UVZ,kimis ice cream and coffees
9XSYI,parlor house bistro
59BGL,island jerk shack
NLO4A,izakaya tori
8LJII,o2 easy vape lounge
AW40Y,barbacoa mexican grill
7PJO3,grain and berry carrollwood
FCK32,barefoot billys friendly tavern
YO0OM,the tiki tavern
CWEZF,maikels kitchen
ZG66Z,little caesars
CNUEE,the rusty lyon
VS7A5,crafty squirrel
GJJWO,greenstock
PODNQ,old school bar and grill
R9CKU,bacchus wine bistro
JEH2Z,guthries
W8VI9,the great american barber
QGLFH,buddy brew coffee  park tower
GRF1O,luv child
S7ZI9,philly joes steaks  hoagies
0BSDQ,el rico frappe latino
49WO7,clearwater brewing company
FQVPX,umami sushi hibachi
T5SA1,la dolce vita
TAUDO,psomi
AL5TB,fratellis pizza and cafe
ZA4QY,santoras mexican  italian kitchen
1H7HX,bubbaques
HQXS8,campanellas bargrill
M5PDB,tampa pizza company
RW61B,sonder social club
BM40K,flynns retro bar  gaming
JHKH2,cali cafe
NEA2X,vector bar  arcade
DMQ6U,the breakfast grille
CDZ8X,heights seafood
LPYON,blind tiger cafe  westshore plaza
M8K2W,otsuka ramen
4VNVI,kaia bowls  countryside
CZYYT,jc noodle house
8OJQR,cali aji
EQQIP,oh greek
2QD2Z,katerinas taverna and grill
ZRNNB,starkey market
8QD9E,garrison tavern
SRO5I,tampa wine room
TM3YM,east
LKD14,noho junction
0O1QL,nashs hot chicken
VWRK4,tostones
EX40A,bruh mans bbq
O3VD4,races de mi pueblo restaurant and cafe
7LKHS,holy crpe
AG6EK,frankies raw bar
JVVLF,roo roos diner
5QF2B,cruisin tikis clearwater
VI0Q1,fj express
AZ7GG,deliicious
YS1SY,pour judgement
4NDE0,uptown eats
W10XJ,brooklyn bagels of hudson
BEOCT,bow thai
URT6X,tikis tacos and beer
ONWBL,michoacana neveria  paleteria
59HDV,the liquid garage co
FONLB,michi ramen
H4OY6,the haus coffee shop irb
2YX9P,diesel pizza
TTLP2,cuts and color salon
AC672,got lobstah
YFSM1,san miguel
011U6,the tiki bar
0A585,shlomo gourmet subs  deli
4FJHR,aussie grill  brandon
CH8AE,bula kavananda
7UB4I,gulfperk coffee bar
BAGEN,gerstles clearwater
HXXC2,ximenas mexican restaurant
FO7G0,kyoto palace
MHSQM,boss ross bbq
MDSXY,the whiskey exchange
ITFHD,slap yo mama
U1Z6L,abu omar halal
3WKET,papa ts steak house
BXX5P,garden mediterranean grill
CF3JL,lanes lemonade  dairy bar
YCFBV,brioche cafe  bakery
175HH,tampa taco company
ALZIR,naked farmer
GXYVM,k club bar  bistro
CKP1H,wing n it
RYAQG,special pho
O9301,shawarma asham
YNHHT,eskpades
7ATQX,free motion physical therapy
434TF,the saint speakeasy
YGDDJ,the stockyard
V33BM,big joes pasta house
1AYIZ,white lie
E77O8,the healthy hive
N28A4,allens barber shop
HI87N,showbar ybor
XJT31,mcarthurs irish pub
BVN1X,perrys bbq  asian grill
SAL4C,king of the coop
E2JQI,v9 eats
26XSE,maikel bakery
RJ6UN,crepes your way
GLM13,the sommelier hideaway
QFJCB,alati greek food  drink experience  clearwater beach
LMM1F,alati   tarpon springs
KZ4QX,82 degrees
78HSF,the kangaroo
7GMYD,the dancing crab
YAHOO,chinese gourmet express
KLUII,the crumb factory bakery
NYXJV,el toro loco
7Y83H,oh yeah creamery
WNE5I,uno mas food truck
95TNM,junmai station
1SJQU,bastet brewing
PWI0S,the vegan halal cart
JQWDC,token ramen  kung fu tea
FSK6A,la cocina de cris
Z2T77,paradeco coffee roasters
2B75Y,deaverdura food truck
O784C,south tampa pizza
1N1NI,sa ri one kitchen
7GBJ6,el jefes cafe tostada
62BF0,the cork room
MBHCY,floridian social club
D8NRZ,driftlight lounge
KNGM2,late start brewing
U4D6K,los tacos mariachis
JETG6,le casa bistro
8I3C2,shahs halal
684N1,farmacy vegan kitchen  bakery
C06S3,bubbas 33
13Y1B,hong kong
0ZZO9,jerk hut restaurant
3DS3S,china city
EAI1P,the shocka lounge
83XBP,creative soul studio
XHNRN,ruths steakhouse
4X294,gulf bistro
JR7UL,pizza tyrone square
W3TEY,hao wah chinese restaurant
JDIDR,st petersburg pier
26Y7H,the donut experiment  clearwater beach
YV6CZ,kraftologee
MLS9A,peking fast food
OABXY,frenchys south beach cafe
NWNPC,ballyhoos grill
H6N7T,bombay grill
XHJX9,oaks cafe
XLPQK,sunset sub
JNHGI,caddys on central
KL676,gametime
NYEJT,original pizza
S40F0,pitas on the run
VHB9D,crispy clean cuts
TPT2B,petes diner
96373,sloppy joes
66SW2,rookies sports bar  grill
D519V,los vallarta mexican restaurant
OPFF7,capognas dugout
2DDB9,riverside seafood market
C5X75,cheddars scratch kitchen
OYSPI,rubens cubans
HJ6OI,mott  hester deli
GTVNE,lady janes haircuts for men
JSZX8,gyro zone
2I38W,beve cibo
I9WGO,tampa tap room
G4VFP,ddrinkz
BMFPT,jakes pizza
AIFSX,antojitos latin cravings
H0S05,biff burger  buffys bbq
QGC2Y,bluewater bistro
AY6T5,la gran colombia
7UW7U,la casita de las frutas
0SDN9,long phung
K4V0W,westshore pizza  largo  east bay
JUS4H,taqueria emanuel
NMIY4,old world cheese shop
WJFLA,so nuts donuts  deli
ON6TW,black rock bar  grill
305MO,jamba juice
0HCER,stirling wine
6Y5SK,two cousins pizzeria
4D5M9,jaymerq southern bbq
OM9TX,tokyo sushi cafe
E77XU,galley pizza  pasta company
FKUNB,poochies woof  wine
5GSGO,green chili bistro
0D2A4,panos kouzina
M7692,park square pizza
XZOXG,twistee treat  pinellas park
51TLE,your kitchen cafe grill
WZ17Q,chicago street pizza
AKLLS,jonny primos
OD6AM,victorias
3T8YU,anas mexican restaurant
NNI9E,international food mart
T8Y9P,wraps mexican grille
R9CWY,nicos arepas grill
NJBXA,great eats sandwich company
3H20A,natalies restaurant
XXQ26,new china restaurant
AS6LI,la pita
M24JQ,bellissimo italian eatery
E3LNN,boulevard burgers  tap house
W2JG8,carrabbas italian grill
Y06Z2,villa maria pizza pasta panini
TUMXJ,ginza japanese steakhouse
CDEQ2,pizza villa
57YXW,the dubliner north
CMBDH,stephannos pizza
F9OAO,rowe bar
ES71E,china 1
FWK1V,fishhawk pizza
XTG4J,vip elite barbershop
BDTBT,pincho y pincho
BW8YR,los mariachis mexican restaurant
1GQ68,dachshunds bar  grill
F0BJ1,platts pizza pub
PQH83,koto steakhouse  sushi bar
9Q2RY,mi pueblito
25QN4,kookie krums
IHXKX,the frog pond
EM16Y,pepes latin cafe
2NPNI,the simple greek
54WFJ,six tables
7IV8Y,west bay tap house
4Q7FV,bread  butter gourmet deli
M5J9A,the king  i restaurant
9UKCX,tokyo bay mang sushi  japanese steakhouse
JTGWL,copenhagen cafe
3NO4L,rustys bistro
KNWXT,los mexicanos
4YV8J,evos feel great foodcarrollwood
GE72M,garden gyros
3D9WM,craft street kitchen  oldsmar
VIPM7,kazbors grill  bar
RJURO,kangs garden
JVOWY,on a roll sushi
IAC0J,la taqueria el nopal
VRD9U,del mar gastro lounge
WJ0WK,pdq wesley chapel
2SXRC,apollo family restaurant
2DGGY,boston grill
AZKAV,pizza mania
2QH73,les baguette
DOTFT,formaggios
CY1XY,admirals club
0ZVJF,victorian grace
HPJ0W,fire monkey food truck
TPUPK,grille one nine
BT05X,flamb
WVKSN,neighborhood bistro
50Z54,bjs alabama bbq
O02AG,tsm kitchen  bar
9XF8R,marios ny pizza
8JL56,international beer garten
VFFWF,pdq carrollwood
AAQZQ,billys corner barber shop
PPU62,genuino italian cafe
UBNUW,miss vickis on the river
YZ450,los jarrones
IWBA0,pacific coast latin seafood  cantina
H7ZC3,pinchers
R6CQW,sunoco gulfport
4XRMX,thai ginger
GWWGW,coyote ugly
SJ07C,la fuente real mexican restaurant
YEFQQ,sohkdii restaurant
SOFY5,the carthage grille
3LZ9C,the floridian
HEGJH,the sand bar
HXC0O,smokin 19
9R7SB,fitlife foods  south tampa
5PUCP,good food african american restaurant
TTV4V,garibaldi mexican restaurant
ONGCO,star wings
74ZTO,thai bistro
M202P,faceless samurai
ZUUUN,bottle house bar
KT803,falafel n cafe
GCGTP,paninis of westchase
5WK0D,mekong vietnamese restaurant
MQRSP,apollos bistro
QPDQA,lowry parcade  tavern
5XPK2,soul of korea
LKBCF,casa cosenza
DEV1L,agave restaurant
DG9JF,obriens irish pub  grill wesley chapel
Q5P65,flying pan
G20V9,saki endless sushi and hibachi eatery
WWES8,uncle fats 2 tampa
7W4VB,silverking brewing company
079AC,country skillet
VAAPT,mekenita cantina
PBN41,pazza bistro
QL2N6,soho juice company
OROZH,pizza shack italian grille
MIBTS,lonzalos pizzeria  restaurant
1KM86,the penthouse club  tampa
0BB7D,hoagie heaven
AOZG9,mainstay tavern
YI8JQ,dcajun blues roadhouse
SJ2AS,vallartas mexican restaurant
ZOMV3,the original grill
284PU,frutas frescas
3FZTR,daiquiri shak raw bar  grille
TWSI9,the original brooklyn water bagel co
YUMEJ,francos pizza ristorante
VKZA0,jaqx eatery
SW2BR,sport clips haircuts of tampa  azeele plaza
60ED8,sushi shoya
F6A81,hoosiers grille
AF153,oasis hookah lounge
6RGVJ,casanova italian restaurant
BH8UV,german bistro 2
VNDRK,origami sushi
K6JDH,oshys
VS6V4,ishii
7GONL,so gourmet
YBBHL,forlinis restaurant
094QQ,gigis pizza  pasta
VUUVV,baluka billiards  lounge
JE718,the fountainhead wine and beer bar
NXI5B,ginza
BLS4L,duckys sports lounge
509BQ,california pizza kitchen at international plaza
ESYEH,taste of italy gelateria  cafe
L1OU5,castile restaurant
4DG6I,tareks cafe  grill
VSP9M,the local fresh grill
1VMTC,el moises barber shop
W1TBR,samis bakery
VLGJ3,pipos cafe
FDD5H,falafel inn mediterranean grill
CSJTF,rasoi indian cuisine
F1MGE,santorini greek
031D5,joia fabulous pizza  martini bar
1I66G,taco dirty
H2FPF,a  w
2Y9NK,pho phat tai
